,MonovsEnpitu,MonovsSattunMina,MonovsYaduyaBurnum,MonovsKateTakakura,Monovsrandomagent,EnpituvsSattunMina,EnpituvsYaduyaBurnum,EnpituvsKateTakakura,Enpituvsrandomagent,SattunMinavsYaduyaBurnum,SattunMinavsKateTakakura,SattunMinavsrandomagent,YaduyaBurnumvsKateTakakura,YaduyaBurnumvsrandomagent,KateTakakuravsrandomagent
224,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2
225,1,1,1,1,1,2,0,2,1,1,1,1,2,1,1
226,1,1,1,1,1,1,0,1,1,1,1,1,0,2,2
227,1,1,1,1,2,2,2,2,1,1,1,1,0,2,1
228,1,1,1,1,1,2,1,2,2,1,2,1,2,1,2
229,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1
230,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1
231,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2
232,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1
233,1,1,1,1,1,2,1,2,1,1,2,1,0,2,2
234,1,1,1,1,1,1,2,0,2,1,1,2,0,1,1
235,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2
236,1,1,1,1,1,2,2,1,1,1,2,1,2,0,2
237,1,1,1,0,1,1,1,1,2,1,1,1,0,1,2
238,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2
239,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2
240,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1
241,1,1,1,1,1,2,2,2,0,1,2,2,2,1,1
242,1,1,1,1,1,1,1,1,2,0,2,1,2,2,2
243,1,1,1,1,1,1,2,2,1,2,1,1,0,2,2
244,1,1,1,1,1,2,1,1,2,1,2,2,2,0,1
245,1,1,1,1,1,2,1,2,2,1,1,2,1,1,2
246,1,1,1,1,1,2,2,1,2,1,2,1,2,2,1
247,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2
248,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1
249,1,2,1,1,1,2,2,1,1,2,2,1,1,1,2
250,2,1,1,1,1,2,1,2,1,1,1,2,1,2,2
251,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2
252,1,1,1,1,1,2,2,0,2,2,1,1,1,1,1
253,1,1,1,1,1,2,1,1,2,1,0,2,1,1,1
254,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2
255,1,1,1,1,1,1,2,2,2,1,2,1,2,1,1
256,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2
257,1,1,1,0,1,2,2,2,1,2,1,2,2,2,2
258,1,1,1,1,1,2,2,1,1,2,1,2,1,2,2
259,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1
260,2,1,1,1,1,2,2,0,2,1,2,2,2,1,1
261,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1
262,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1
263,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2
264,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1
265,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1
266,1,1,1,1,1,2,1,2,2,1,1,2,2,2,2
267,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2
268,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2
269,1,2,1,1,1,2,2,1,1,2,2,2,0,2,2
270,1,1,1,1,1,2,2,2,1,2,1,1,2,2,1
271,1,1,1,1,1,2,2,2,2,1,2,1,1,2,1
272,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1
273,1,2,1,1,1,2,1,2,2,2,2,1,1,2,2
274,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1
275,1,1,1,1,1,2,2,2,2,1,2,1,2,1,0
276,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2
277,1,1,1,1,1,2,2,2,2,2,2,1,2,1,2
278,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1
279,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1
280,1,1,1,1,1,2,1,2,2,2,0,1,2,1,2
281,1,1,1,1,1,2,1,2,2,1,2,1,1,2,1
282,1,1,1,1,2,2,2,2,2,1,1,1,1,2,1
283,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2
284,1,1,1,1,2,2,1,2,1,1,0,1,1,2,2
285,1,1,1,1,1,2,1,2,2,1,2,1,1,1,0
286,1,1,1,1,1,1,2,1,1,2,2,2,0,1,2
287,1,1,1,1,1,2,2,1,2,2,2,1,1,1,2
288,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1
289,1,1,1,1,1,2,1,0,1,1,1,1,2,2,1
290,1,1,1,1,1,0,2,1,2,1,1,1,1,0,2
291,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1
292,1,1,1,1,1,2,1,2,2,1,1,2,1,0,1
293,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1
294,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1
295,1,1,1,1,1,2,1,1,2,1,1,2,1,0,2
296,1,1,1,1,1,2,0,2,2,1,1,1,2,2,2
